feature,importance
num__swir_mean,0.1791856703519293
num__rainfall_mm,0.17049683139208338
num__temperature_c,0.13868546478757918
num__red_edge_slope,0.06712150328037732
num__ndvi,0.06346747398316463
num__ndre,0.06214985146063602
num__nir_mean,0.05764011645377889
num__soil_p_mgkg,0.05650583980003349
num__tissue_n_pct,0.04644709434490294
num__tissue_p_pct,0.030633220396370373
num__gndvi,0.02672389060142917
num__soil_n_mgkg,0.023858864013315457
cat__environment_High Tunnel,0.01912584903184758
num__tissue_k_pct,0.01782032815479261
num__soil_k_mgkg,0.014078376773109812
cat__environment_Open Field,0.011504301763702094
num__treatment_t_acre,0.007079334022383287
num__dap,0.0056543697721213905
cat__species_White,0.0012891514465218972
cat__species_Yellow,0.00034156074648923965
cat__species_Red,0.00019090742343193546
